"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,135,66,0.23896997457284,-12.4745864117019
0.914,135,68,-0.119596731164388,-13.0191480300272
0.914,135,70,-0.484333059512422,-13.569814634596
0.914,135,72,-0.855339471285296,-14.1255484452952
0.914,135,74,-1.23280946789083,-14.6853121237157
0.914,135,76,-1.617040593801,-15.2480640874155
0.914,135,78,-2.00844663374913,-15.8127489228518
0.914,135,80,-2.40757133657665,-16.3782817422298
0.914,135,82,-2.81510410160562,-16.943525381689
0.914,135,84,-3.23189819800249,-17.5072594903434
0.914,135,86,-3.65899226410098,-18.0681408414494
0.914,135,88,-4.09763606837718,-18.6246546478822
0.914,135,90,-4.54932183063308,-19.1750573369725
0.914,135,92,-5.01582283655328,-19.7173122021135
0.914,135,94,-5.49924168498327,-20.2490206777182
0.914,135,96,-6.0020713677611,-20.7673537501799
0.914,135,98,-6.52727362609125,-21.2689902464639
0.914,135,100,-7.07838086150471,-21.7500713522975
0.914,135,102,-7.65963063908648,-22.2061834237891
0.914,135,104,-8.27614606501348,-22.6323833897484
0.914,135,106,-8.93418200473838,-23.0232818506859
0.914,135,108,-9.64146790999264,-23.3731971075624
0.914,135,110,-10.4076959783647,-23.6763875190088
0.914,135,112,-11.2452341529281,-23.9273590738851
0.914,135,114,-12.170198045066,-24.1212305146319
0.914,135,116,-13.2041161020446,-24.254122375053
0.914,135,118,-14.376612912667,-24.3235233891318
0.914,135,120,-15.7299071449689,-24.3285829415472
0.914,135,122,-17.3266360635911,-24.2702849545097
0.914,135,124,-19.2636538647012,-24.1514764986401
0.914,135,126,-21.6936302354285,-23.9767489457645
0.914,135,128,-24.8219076624487,-23.7521936500977
0.914,135,130,-28.4306434718686,-23.4850714910307
0.914,135,132,-29.1995508266798,-23.1834427133774
0.914,135,134,-25.8571003901491,-22.8558006847186
0.914,135,136,-22.5164877017186,-22.510743484997
0.914,135,138,-19.9183691067195,-22.1567046000964
0.914,135,140,-17.8763946549552,-21.8017517874079
0.914,135,142,-16.2204301369485,-21.4534535089969
0.914,135,144,-14.8420474552302,-21.118805970426
0.914,135,146,-13.6724414382916,-20.8042105932862
0.914,135,148,-12.6663387661153,-20.5154910133749
0.914,135,150,-11.7927825099561,-20.2579396180856
0.914,135,152,-11.0298761623778,-20.0363854855731
0.914,135,154,-10.3616830758857,-19.8552778244299
0.914,135,156,-9.7763243721156,-19.7187813048839
0.914,135,158,-9.26476844058735,-19.6308818731766
0.914,135,160,-8.82003533380561,-19.5955037460193
0.914,135,162,-8.43665937051261,-19.6166403991054
0.914,135,164,-8.11031793243011,-19.6985046947085
0.914,135,166,-7.83757055789502,-19.8457061418231
0.914,135,168,-7.61567331417265,-20.0634670845702
0.914,135,170,-7.44244589743384,-20.3578949987599
0.914,135,172,-7.31617658672015,-20.736335936917
0.914,135,174,-7.23555505105853,-21.2078456889952
0.914,135,176,-7.19962620102799,-21.7838316319869
0.914,135,178,-7.20776044352093,-22.4789391960395
0.914,135,180,-7.25963723592035,-23.3122739149006
